"Opportunity Name","ID","Opportunity Amount","Currency","Expected Close Date","Sales Stage","Probability (%)","Next Step","Type","Account Name","Description","Amount","Lead Source","campaign_id","Assigned to","Assigned User","Date Created","Date Modified","Created By","Modified By","Deleted","lostreason","Longitude","Address","Geocode Status","Latitude"
"Test leader Polestar Project","91371588-c625-2cf6-047b-68f20187575d","SE0,00","'-99","02/13/2020","Closed Lost","0","","","Humbelbee","","SE0,00","","","adminalex","1","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Test-channel with SCTE markers","27a90446-bf13-a2ba-281a-68f201cf6ca6","SE0,00","'-99","04/08/2021","Closed Won","0","","","TV2 DK","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Testautomation","d969e952-9b6f-59e4-d66a-68f2019cfa9a","SE120000,00","'-99","10/07/2021","Closed Won","80","","","Spiideo","","SE120000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Testautomation appar (OSaas)","3cb481e8-deaf-8724-7f5e-68f201e78943","SE20000,00","'-99","09/20/2023","Closed Lost","50","","","Telenor","","SE20000,00","","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Testing and bug fixing","692a054a-f5a1-dec5-6d92-68f201481918","SE200000,00","'-99","12/01/2022","Closed Lost","50","","","NBA","","SE200000,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"TNN deal","c92981fc-987b-6ceb-6b65-68f201f4c7bf","SE120000,00","'-99","11/16/2023","Closed Lost","40","","","TNN","","SE120000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Training","3ddff2df-78aa-454c-ef2e-68f201508282","SE0,00","'-99","01/28/2021","Closed Lost","0","","","Sveriges Television","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Training","c13bd53e-1d19-14fb-8490-68f201bcd74e","SE0,00","'-99","11/12/2020","Closed Won","0","","","NEP","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Trancoding and Cloud competence","b05860fd-8a63-05cf-ca5d-68f20149c444","SE100000,00","'-99","06/30/2022","Closed Lost","50","","","Dolby","","SE100000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Transformationsprojekt","9692a600-cd46-e99d-fd75-68f201a674a1","SE3000000,00","'-99","12/19/2023","Closed Won","50","","","TV4 Media","","SE3000000,00","","","jonasbirme","5548ec37-5d60-9e14-3d62-68ff5722bdc6","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Transition project continuation","e7a44724-0a6e-841d-8229-68f20123bf67","SE500000,00","'-99","02/14/2025","Closed Lost","25","","","Nenda","","SE500000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Transkodering (OSaaS Encore)","169fd6d7-929d-629b-48d6-68f201d7518e","SE2000,00","'-99","08/31/2023","Closed Lost","10","","","TV4 Media","","SE2000,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Transkribering och sökning","ac25a492-f520-9bc4-227f-68f201d4f4fe","SE100000,00","'-99","01/15/2025","Closed Won","50","","","LO","","SE100000,00","","","tomasrapp","42b70baf-9446-3a79-3ffd-68ff571dc39a","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Trend and FAST presentation","e74e92de-ac99-9d78-94ed-68f20103e36d","SE20000,00","'-99","04/14/2022","Closed Won","80","","","Broadpeak","","SE20000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"TV Engineering manager","f2332137-45d5-99df-3649-68f200e8cd99","SE0,00","'-99","06/17/2020","Closed Lost","0","","","Spotify","","SE0,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"TV OS app och rådgivning","384fbd7f-3f21-171b-0585-68f20140a462","SE0,00","'-99","12/17/2020","Closed Lost","0","","","Staccs","","SE0,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"TV presentation","bc4f5b54-b257-fcc0-2d84-68f201e66f66","SE0,00","'-99","09/10/2020","Closed Lost","0","","","Telenor","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"TV Whitepaper","c8a78ee3-91e7-874c-344e-68f201e35373","SE0,00","'-99","04/08/2021","Closed Won","0","","","Netmore","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"TV4 Media deal","52c62339-c957-9669-bc36-68f201b61561","SE1000000,00","'-99","06/13/2025","Closed Lost","10","","","TV4 Media","","SE1000000,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:42","11/06/2025 12:13","1","1","0","","0,00000000","","","0,00000000"
"TVN Video Quality","51c10e66-badf-ab03-0931-68f20128f67d","SE110000,00","'-99","09/16/2024","Closed Won","50","","","TVN S.A.","","SE110000,00","","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"UHD Audit","9e368c6e-7ee3-be6f-e0c7-68f201ebb368","SE100000,00","'-99","08/29/2025","Closed Lost","25","","","Telia","","SE100000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"UHD/HDR Adoption","dd602fd3-18c7-0dc4-7cde-68f2017cf672","SE350000,00","'-99","02/02/2022","Closed Won","90","","","TV2 DK","","SE350000,00","","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"UI expertise","59bbbf3c-2bfa-1cb5-9803-68f201c8ae78","SE0,00","'-99","08/27/2020","Closed Won","0","","","Ad Lightning","","SE0,00","","","adminalex","1","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Utbildningar m.m.","c79603f4-dc45-18c3-ea07-68f20174a4c6","SE100000,00","'-99","03/31/2022","Closed Lost","25","","","Deltatre","","SE100000,00","","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/17/2025 08:41","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Utredning","7f01f7e8-8bc4-b78a-14e7-68f201d8d2dc","SE500000,00","'-99","03/07/2024","Closed Won","50","","","Svenska Spel","","SE500000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Utredning TV över Internet","1f10016b-d469-167a-ec24-68f201418e5f","SE150000,00","'-99","11/19/2024","Closed Won","50","","","Regeringskansliet","","SE150000,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:42","11/06/2025 12:13","1","1","0","","0,00000000","","","0,00000000"
"Utvecklare","2da1aa38-23d8-62ce-0629-68f201196f81","SE400000,00","'-99","03/04/2024","Closed Lost","25","","","Nenda","","SE400000,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:42","11/06/2025 12:13","1","1","0","","0,00000000","","","0,00000000"
"Utvecklare","59259aaf-b7a2-fa2a-9018-68f201215b09","SE500000,00","'-99","09/04/2025","Closed Won","50","","","TV4 Media","","SE500000,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:42","11/06/2025 12:14","1","1","0","","0,00000000","","","0,00000000"
"Utvecklare","dc40c454-9d0d-f07e-e489-68f201aa77f3","SE1000000,00","'-99","01/09/2025","Closed Lost","25","","","Net Insight","","SE1000000,00","","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Utvecklare backend","820e68c9-d934-809a-4f5f-68f20130b2a0","SE0,00","'-99","10/08/2020","Closed Lost","0","","","Telia","","SE0,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
